,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
618,10-13 years,female,Bangla,Immigrant,Freelancer,Four or more,secondary,primary,>7 km,Walk,Other,Toilet,Once,Low,Remittance,25,91,24,40,79,73,69,180000,Yes,1 hours,Yes,2.86,53.2
619,13-15 years,male,Bangla,Worker,Public sector,Two Children,primary,primary,1-2 km,Rickshaw,Electricity,Toilet,Once,High,Casual Wage,64,43,25,63,87,58,28,220000,Yes,0 to 30 minutes,No,2.63,64.2
620,13-15 years,female,Bangla,Business,Worker,None,Honors/ Equivalent ,secondary,6-7 km,Walk,Other,Teaching facilities,Once,High,Own business,27,25,51,79,21,76,87,450000,Yes,0 to 30 minutes,No,2.61,70.5
621,15-18 years,female,Bangla,Unemployed,Immigrant,None,primary,primary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Pansion,87,35,33,35,62,88,81,250000,Yes,above 3 hours,No,3.01,67.9
622,13-15 years,female,Bangla,Private sector,Freelancer,Two Children,secondary,primary,>7 km,Private car,Electricity,Toilet,Once,Low,Casual Wage,40,23,49,69,69,75,42,450000,Yes,2 hours,No,2.62,55.8
623,10-13 years,female,Bangla,Worker,Home maker,Four or more,secondary,secondary,0-0.5 km,Bicycle/motorbike,Other,Teaching facilities,None,Mediam,Casual Wage,27,89,89,75,40,70,24,250000,No,2 hours,No,2.96,58.6
624,10-13 years,male,Bangla,Freelancer ,Private sector,Two Children,primary,secondary,0-0.5 km,Private car,Electricity,Toilet,None,High,Own business,56,73,36,83,20,47,40,150000,Yes,1 hours,No,2.54,55.4
625,13-15 years,female,Bangla,Public sector,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Formal Wage,32,28,80,33,74,64,30,220000,No,3 hours,No,2.44,65.6
626,15-18 years,female,English,Freelancer ,Home maker,Two Children,primary,primary,6-7 km,Walk,Electricity,Teaching facilities,None,Low,Own business,82,57,83,28,26,23,36,400000,Yes,3 hours,No,2.39,73.1
627,15-18 years,male,Bangla,Private sector,Home maker,Two Children,Honors/ Equivalent ,None,1-2 km,Private car,Electricity,Toilet,Once,Mediam,Casual Wage,90,70,45,81,62,67,71,220000,Yes,above 3 hours,No,3.47,92.6
628,13-15 years,male,Bangla,Worker,Home maker,None,secondary,Masters/Equivalent and above,0-0.5 km,Walk,Electricity,Electricity,None,Mediam,Casual Wage,88,73,52,23,75,31,66,250000,Yes,0 to 30 minutes,No,2.91,56.2
629,13-15 years,male,Bangla,Freelancer ,Freelancer,Three Children,primary,secondary,1-2 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Mediam,Own business,85,71,90,61,52,41,36,400000,Yes,above 3 hours,No,3.11,93.3
630,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,Casual Wage,58,88,51,90,47,59,75,800000,No,0 to 30 minutes,Yes,3.34,88.6
631,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,Casual Wage,24,89,58,77,35,33,33,750000,Yes,2 hours,No,2.49,53.5
632,13-15 years,male,Bangla,Business,Worker,None,primary,Honors/Equivalent ,0.5-1 km,Walk,Other,Toilet,None,High,Own business,48,66,55,57,30,30,39,750000,Yes,above 3 hours,No,2.32,60.5
633,13-15 years,female,Bangla,Agriculture,Home maker,Four or more,None,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,Farming,63,60,25,90,63,28,43,650000,No,3 hours,No,2.66,64.4
634,13-15 years,female,Bangla,Public sector,Home maker,Three Children,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Mediam,Formal Wage,67,77,91,55,33,87,29,300000,Yes,2 hours,No,3.14,92.3
635,15-18 years,female,Bangla,Immigrant,Home maker,None,secondary,secondary,0.5-1 km,Rickshaw,Other,Teaching facilities,Once,Low,Remittance,56,67,57,50,91,82,20,250000,Yes,3 hours,No,3.02,68.6
636,13-15 years,male,Bangla,Immigrant,Home maker,None,secondary,secondary,0-0.5 km,Walk,Paraffin,Teaching facilities,None,High,Remittance,88,68,22,75,77,20,37,650000,Yes,3 hours,No,2.76,50.6
637,10-13 years,male,Bangla,Business,Home maker,Four or more,secondary,primary,1-2 km,Private car,Electricity,Toilet,None,High,Own business,32,60,69,57,50,23,85,400000,Yes,above 3 hours,No,2.69,67.1
638,10-13 years,male,Bangla,Worker,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,Bicycle/motorbike,Other,Toilet,None,High,Casual Wage,27,86,81,53,84,27,38,700000,No,1 hours,No,2.83,74.2
639,15-18 years,male,Bangla,Immigrant,Worker,Three Children,None,secondary,4-5 km,Walk,Electricity,Teaching facilities,None,Mediam,Remittance,47,56,47,33,34,41,31,300000,Yes,0 to 30 minutes,Yes,2.06,63.3
640,10-13 years,male,Bangla,Immigrant,Immigrant,None,secondary,secondary,0.5-1 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,Remittance,64,92,82,41,86,78,74,500000,No,2 hours,Yes,3.69,83.5
641,above 18 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,primary,>7 km,Rickshaw,Electricity,Teaching facilities,None,Low,Remittance,82,36,27,35,91,86,63,850000,No,above 3 hours,No,3,75.5
642,13-15 years,others,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Mediam,Farming,28,74,79,60,87,41,74,750000,Yes,2 hours,No,3.16,76
643,13-15 years,male,Bangla,Business,Home maker,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Teaching facilities,None,Mediam,Own business,87,65,42,41,63,66,38,250000,No,above 3 hours,No,2.87,70.2
644,15-18 years,male,Bangla,Immigrant,Home maker,Three Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Remittance,67,28,67,67,70,28,36,180000,Yes,1 hours,No,2.59,64.8
645,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,High,Casual Wage,20,52,91,41,47,27,69,180000,No,above 3 hours,Yes,2.48,51
646,13-15 years,female,Bangla,Private sector,Business,Three Children,primary,primary,4-5 km,Walk,Electricity,Toilet,Once,Mediam,Casual Wage,67,44,36,35,61,61,35,500000,Yes,above 3 hours,No,2.42,60.2
647,10-13 years,male,English,Agriculture,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,Mediam,Farming,58,32,20,82,73,82,78,250000,Yes,2 hours,No,3.04,69.7
648,15-18 years,female,Bangla,Worker,Home maker,Two Children,primary,secondary,2-3 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,Casual Wage,21,58,57,76,70,41,25,180000,Yes,above 3 hours,Yes,2.49,58.4
649,13-15 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,Mediam,Casual Wage,39,55,27,31,33,75,57,350000,Yes,0 to 30 minutes,No,2.26,61.6
650,13-15 years,male,Bangla,Public sector,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Water,Once,Mediam,Formal Wage,31,63,84,73,76,39,74,650000,Yes,3 hours,No,3.14,71.5
651,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Mediam,Own business,32,54,44,67,24,83,32,500000,No,above 3 hours,No,2.4,69
652,15-18 years,male,Bangla,Immigrant,Agriculture,Three Children,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,High,Remittance,54,59,49,50,83,20,23,600000,Yes,0 to 30 minutes,Yes,2.41,70.9
653,15-18 years,male,Bangla,Immigrant,Home maker,Four or more,Masters/ Equivalent and above,secondary,>7 km,Rickshaw,Other,Teaching facilities,None,High,Remittance,20,33,51,50,81,32,68,180000,Yes,0 to 30 minutes,No,2.39,59.1
654,15-18 years,female,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Own business,22,73,21,38,81,25,89,700000,Yes,1 hours,No,2.49,58.7
655,13-15 years,female,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,Own business,53,90,86,73,71,30,39,400000,Yes,1 hours,No,3.16,69.1
656,13-15 years,female,Bangla,Public sector,Immigrant,Three Children,primary,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Low,Formal Wage,42,57,20,57,43,55,61,150000,Yes,above 3 hours,No,2.39,69.1
657,10-13 years,male,Bangla,Agriculture,Home maker,None,None,Honors/Equivalent ,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,High,Farming,73,89,76,40,72,67,54,900000,Yes,0 to 30 minutes,No,3.36,83.2
658,13-15 years,male,Bangla,Immigrant,Worker,None,primary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Remittance,76,65,82,59,72,75,42,100000,Yes,3 hours,Yes,3.36,90.8
659,10-13 years,female,Bangla,Unemployed,Home maker,Three Children,primary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Water,Once,High,Pansion,74,48,89,34,47,70,30,150000,No,above 3 hours,Yes,2.8,54.2
660,10-13 years,male,Bangla,Worker,Home maker,None,secondary,None,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Casual Wage,21,51,86,25,74,67,50,150000,No,2 hours,No,2.67,64.2
661,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,Own business,69,74,32,64,62,58,45,450000,Yes,1 hours,No,2.89,62.7
662,13-15 years,male,Bangla,Business,Home maker,Three Children,secondary,Honors/Equivalent ,6-7 km,Rickshaw,Other,Water,Once,Low,Own business,32,83,80,35,49,42,37,180000,Yes,above 3 hours,No,2.56,68.1
663,13-15 years,male,Bangla,Unemployed,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Pansion,70,29,84,26,91,71,23,750000,No,0 to 30 minutes,Yes,2.81,69.4
664,13-15 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,0-0.5 km,Private car,Other,Teaching facilities,None,Mediam,Casual Wage,41,58,77,52,88,36,23,200000,No,2 hours,No,2.68,56.7
665,13-15 years,male,Bangla,Agriculture,Public sector,Three Children,secondary,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Mediam,Farming,66,85,39,64,75,79,85,250000,No,3 hours,No,3.52,73
666,10-13 years,male,Bangla,Public sector,Worker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Private car,Electricity,Toilet,None,Low,Formal Wage,50,39,30,50,38,56,57,180000,No,3 hours,No,2.29,61.9
667,10-13 years,male,Bangla,Private sector,Home maker,Two Children,Masters/ Equivalent and above,primary,>7 km,Walk,Electricity,Teaching facilities,Once,High,Casual Wage,62,77,45,75,85,66,66,550000,Yes,3 hours,No,3.4,68
668,10-13 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,Casual Wage,53,85,57,42,23,75,50,850000,Yes,2 hours,No,2.75,53.5
669,10-13 years,male,Bangla,Agriculture,Freelancer,Three Children,primary,secondary,0-0.5 km,Private car,Other,Toilet,None,Mediam,Farming,59,48,76,74,88,88,30,150000,Yes,0 to 30 minutes,No,3.31,76.3
670,13-15 years,male,Bangla,Immigrant,Freelancer,None,secondary,primary,0-0.5 km,Walk,Electricity,Water,None,High,Remittance,72,46,24,40,73,50,33,700000,No,above 3 hours,Yes,2.41,61.9
671,10-13 years,male,Bangla,Freelancer ,Home maker,None,Honors/ Equivalent ,primary,0.5-1 km,Walk,Electricity,Water,None,High,Own business,49,76,40,74,24,89,25,200000,No,3 hours,No,2.69,63.7
672,15-18 years,male,Bangla,Immigrant,Home maker,Three Children,secondary,None,1-2 km,Private car,Other,Teaching facilities,Once,Mediam,Remittance,47,73,76,89,64,29,76,600000,No,3 hours,No,3.24,75.9
673,10-13 years,female,Bangla,Unemployed,Home maker,Four or more,Honors/ Equivalent ,secondary,0-0.5 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Mediam,Pansion,22,67,50,81,25,27,84,100000,Yes,1 hours,No,2.54,72.5
674,13-15 years,female,Bangla,Worker,Home maker,None,secondary,secondary,6-7 km,Bicycle/motorbike,Other,Toilet,Once,Low,Casual Wage,71,54,23,37,82,87,75,220000,No,above 3 hours,No,3.06,85.8
675,15-18 years,female,Bangla,Worker,Immigrant,Two Children,secondary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,30,25,68,53,44,23,90,200000,No,0 to 30 minutes,Yes,2.38,71.7
676,13-15 years,female,Bangla,Worker,Freelancer,Two Children,primary,primary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Mediam,Casual Wage,58,22,58,74,83,39,59,200000,No,above 3 hours,No,2.81,50.2
677,10-13 years,male,Bangla,Worker,Home maker,None,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,86,73,73,22,91,47,71,600000,Yes,2 hours,No,3.31,91
678,13-15 years,male,Bangla,Business,Home maker,None,secondary,secondary,2-3 km,Bicycle/motorbike,Other,Teaching facilities,None,High,Own business,70,39,24,46,69,80,86,400000,No,0 to 30 minutes,Yes,2.96,56.2
679,10-13 years,female,Bangla,Public sector,Home maker,None,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Formal Wage,59,30,80,51,33,72,35,200000,No,2 hours,No,2.57,51
680,10-13 years,male,Bangla,Business,Worker,Three Children,primary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Water,None,Low,Own business,88,31,21,76,25,55,42,800000,No,2 hours,No,2.41,70
681,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,secondary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,Remittance,79,53,42,47,88,39,68,300000,Yes,1 hours,No,2.97,74.3
682,13-15 years,female,Bangla,Public sector,Business,Two Children,secondary,Honors/Equivalent ,6-7 km,Rickshaw,Electricity,Toilet,None,High,Formal Wage,35,82,48,29,75,25,32,200000,No,0 to 30 minutes,Yes,2.33,68.8
683,10-13 years,female,Bangla,Unemployed,Home maker,Four or more,Honors/ Equivalent ,None,6-7 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Pansion,34,71,80,46,58,37,66,600000,No,above 3 hours,No,2.8,74.9
684,13-15 years,male,Bangla,Private sector,Home maker,Three Children,None,primary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,Low,Casual Wage,35,55,21,47,29,39,86,220000,Yes,1 hours,No,2.23,74.3
685,13-15 years,female,Bangla,Private sector,Home maker,None,primary,secondary,0-0.5 km,Rickshaw,Paraffin,Toilet,None,Mediam,Casual Wage,70,31,74,26,60,85,74,250000,No,0 to 30 minutes,Yes,3,83.4
686,13-15 years,female,Bangla,Worker,Worker,None,None,secondary,>7 km,School Bus/Bus,Electricity,Electricity,None,Mediam,Casual Wage,33,56,29,80,45,40,90,500000,Yes,0 to 30 minutes,No,2.66,53.5
687,10-13 years,male,Bangla,Business,Home maker,None,primary,secondary,4-5 km,Bicycle/motorbike,Electricity,Water,None,Low,Own business,28,20,73,35,65,76,68,700000,No,above 3 hours,No,2.61,64.1
688,10-13 years,female,Bangla,Business,Immigrant,None,secondary,primary,1-2 km,School Bus/Bus,Other,Toilet,Once,Mediam,Own business,73,37,31,40,44,79,71,100000,No,1 hours,No,2.68,62.9
689,10-13 years,female,Bangla,Unemployed,Worker,Three Children,primary,secondary,2-3 km,Walk,Electricity,Toilet,Once,High,Pansion,92,28,79,34,27,62,45,200000,No,2 hours,No,2.62,52.3
690,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Private car,Electricity,Water,None,Mediam,Remittance,62,86,27,26,27,62,91,200000,Yes,1 hours,No,2.72,71.4
691,13-15 years,female,Bangla,Business,Home maker,Two Children,primary,secondary,>7 km,Private car,Other,Water,Once,High,Own business,57,48,20,25,85,44,66,900000,No,1 hours,No,2.46,71.9
692,15-18 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,Honors/Equivalent ,2-3 km,Rickshaw,Electricity,Teaching facilities,None,High,Remittance,52,73,77,76,76,91,29,500000,Yes,2 hours,No,3.39,75.9
693,13-15 years,female,Bangla,Immigrant,Agriculture,None,secondary,primary,>7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Remittance,59,34,57,48,65,44,42,250000,Yes,above 3 hours,Yes,2.49,51.3
694,13-15 years,female,Bangla,Public sector,Business,Four or more,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,Formal Wage,90,80,53,30,88,23,29,350000,No,above 3 hours,No,2.81,56.1
695,13-15 years,male,Bangla,Private sector,Home maker,Two Children,secondary,Honors/Equivalent ,0-0.5 km,Walk,Other,Toilet,Once,Mediam,Casual Wage,66,38,26,44,87,62,25,300000,Yes,1 hours,No,2.49,72.2
696,10-13 years,male,Bangla,Immigrant,Worker,Two Children,primary,primary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Remittance,63,37,65,63,48,32,86,350000,Yes,2 hours,Yes,2.81,60.3
697,13-15 years,male,Bangla,Agriculture,Business,Three Children,secondary,primary,4-5 km,Rickshaw,Other,Teaching facilities,Once,High,Farming,78,38,55,46,77,58,27,750000,Yes,0 to 30 minutes,No,2.71,63.1
698,15-18 years,female,Bangla,Immigrant,Home maker,Three Children,None,primary,0-0.5 km,Walk,Other,Teaching facilities,None,High,Remittance,63,62,53,78,89,86,41,750000,No,1 hours,No,3.37,68.8
699,10-13 years,female,Bangla,Unemployed,Worker,Three Children,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Pansion,76,91,65,65,36,45,47,550000,No,1 hours,No,3.04,89.1
700,13-15 years,male,Bangla,Agriculture,Worker,Four or more,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Farming,81,78,25,75,58,27,54,700000,Yes,2 hours,Yes,2.84,53.8
701,13-15 years,female,Bangla,Worker,Home maker,Two Children,primary,None,2-3 km,School Bus/Bus,Other,Water,None,Low,Casual Wage,31,38,53,78,90,42,23,220000,Yes,1 hours,No,2.54,68.8
702,10-13 years,male,Bangla,Private sector,Home maker,None,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,46,42,79,59,81,69,69,250000,No,2 hours,No,3.18,89.5
703,13-15 years,male,Bangla,Business,Agriculture,None,primary,secondary,4-5 km,Walk,Electricity,Electricity,Once,Low,Own business,92,21,89,20,72,22,23,550000,No,3 hours,No,2.42,62.1
704,above 18 years,male,Bangla,Immigrant,Private sector,None,secondary,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Remittance,38,36,34,82,71,75,22,250000,No,1 hours,Yes,2.56,67.5
705,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,primary,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,45,26,47,65,82,24,20,650000,No,2 hours,No,2.21,53.9
706,13-15 years,female,Bangla,Freelancer ,Home maker,Two Children,Honors/ Equivalent ,primary,0.5-1 km,Rickshaw,Electricity,Toilet,None,High,Own business,44,48,26,71,63,59,38,550000,Yes,above 3 hours,No,2.49,66.7
707,15-18 years,female,Bangla,Immigrant,Home maker,None,secondary,secondary,4-5 km,Walk,Electricity,Teaching facilities,None,Low,Remittance,67,53,25,24,74,67,23,500000,Yes,1 hours,No,2.38,73.5
708,10-13 years,female,Bangla,Private sector,Home maker,None,Masters/ Equivalent and above,secondary,2-3 km,Walk,Electricity,Water,None,Mediam,Casual Wage,62,26,29,65,35,88,44,250000,Yes,0 to 30 minutes,No,2.49,65.5
709,13-15 years,female,Bangla,Business,Public sector,Two Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Other,Toilet,None,High,Own business,51,86,57,56,75,36,56,350000,No,3 hours,No,2.98,55.7
710,13-15 years,female,Bangla,Agriculture,Home maker,Three Children,Honors/ Equivalent ,None,0.5-1 km,School Bus/Bus,Paraffin,Water,None,Mediam,Farming,90,28,26,50,33,48,70,650000,No,2 hours,No,2.46,58.2
711,13-15 years,female,Bangla,Private sector,Business,Four or more,primary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Other,Water,None,Low,Casual Wage,91,83,83,30,72,63,21,400000,No,0 to 30 minutes,Yes,3.16,92.3
712,13-15 years,male,Bangla,Public sector,Public sector,Three Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Water,None,High,Formal Wage,81,62,88,40,92,57,65,100000,Yes,0 to 30 minutes,No,3.46,90.3
713,10-13 years,female,Bangla,Agriculture,Worker,None,Masters/ Equivalent and above,None,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Farming,47,71,82,42,47,32,46,150000,No,above 3 hours,Yes,2.62,72.9
714,13-15 years,female,Bangla,Worker,Business,Four or more,None,primary,6-7 km,Bicycle/motorbike,Electricity,Water,Once,Low,Casual Wage,43,30,52,43,92,70,85,700000,No,above 3 hours,No,2.96,50.4
715,10-13 years,male,Bangla,Worker,Immigrant,None,secondary,secondary,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,Casual Wage,49,22,88,64,22,45,71,550000,Yes,3 hours,No,2.58,60.9
716,10-13 years,female,Bangla,Business,Home maker,Four or more,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Toilet,None,Low,Own business,92,78,56,78,78,52,21,150000,No,3 hours,No,3.25,93
717,10-13 years,female,Bangla,Agriculture,Home maker,None,secondary,secondary,0.5-1 km,Walk,Electricity,Toilet,None,High,Farming,57,45,43,32,34,84,20,300000,Yes,3 hours,No,2.25,65.5
718,13-15 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,1-2 km,Bicycle/motorbike,Paraffin,Water,Once,Mediam,Casual Wage,78,33,71,68,80,22,76,900000,No,2 hours,No,3.06,79
719,15-18 years,male,Bangla,Public sector,Home maker,Three Children,Masters/ Equivalent and above,primary,0.5-1 km,Walk,Electricity,Electricity,Once,High,Formal Wage,36,35,49,41,26,85,63,300000,No,0 to 30 minutes,Yes,2.39,70.7
720,15-18 years,male,English,Immigrant,Immigrant,Three Children,Masters/ Equivalent and above,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Remittance,50,58,60,65,65,82,30,200000,Yes,3 hours,Yes,2.93,68.5
721,13-15 years,male,Bangla,Business,Home maker,None,secondary,Honors/Equivalent ,1-2 km,Walk,Other,Toilet,None,Mediam,Own business,73,77,66,32,23,65,56,180000,Yes,2 hours,No,2.8,66.9
722,13-15 years,female,Bangla,Worker,Home maker,Three Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Water,None,Mediam,Casual Wage,57,75,49,32,63,76,73,700000,No,1 hours,No,3.04,66.9
723,10-13 years,male,Bangla,Immigrant,Home maker,None,Honors/ Equivalent ,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,Remittance,62,89,32,42,44,47,62,500000,Yes,3 hours,No,2.7,64.4
724,10-13 years,female,Bangla,Freelancer ,Home maker,None,primary,secondary,6-7 km,Walk,Other,Teaching facilities,None,Mediam,Own business,64,25,59,79,76,66,54,900000,Yes,0 to 30 minutes,No,3.02,68.5
725,10-13 years,male,Bangla,Immigrant,Home maker,None,primary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Toilet,Once,Low,Remittance,65,56,45,59,31,55,27,900000,Yes,0 to 30 minutes,No,2.41,70.1
726,13-15 years,male,Bangla,Business,Home maker,Four or more,primary,primary,6-7 km,Rickshaw,Other,Toilet,None,Mediam,Own business,26,21,23,28,86,53,35,350000,No,0 to 30 minutes,No,1.94,31.9
727,10-13 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Casual Wage,87,82,71,25,59,61,83,700000,Yes,0 to 30 minutes,No,3.34,76.7
728,15-18 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,6-7 km,Walk,Paraffin,Teaching facilities,None,High,Remittance,82,84,75,46,68,92,47,550000,No,3 hours,No,3.53,90.4
729,10-13 years,female,Bangla,Private sector,Worker,None,primary,secondary,0-0.5 km,Walk,Electricity,Water,None,High,Casual Wage,72,34,58,83,42,76,67,150000,Yes,above 3 hours,Yes,3.09,92.5
730,10-13 years,male,Bangla,Private sector,Immigrant,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Electricity,None,Low,Casual Wage,89,20,92,85,39,61,49,400000,Yes,2 hours,No,3.11,87.6
731,15-18 years,female,Bangla,Worker,Business,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,24,26,61,68,57,74,69,550000,No,2 hours,Yes,2.71,73.1
732,10-13 years,female,Bangla,Freelancer ,Home maker,None,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Own business,22,75,51,22,36,81,77,400000,Yes,3 hours,No,2.6,67.8
733,13-15 years,female,Bangla,Immigrant,Worker,None,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Remittance,37,52,75,92,53,46,33,750000,Yes,2 hours,Yes,2.77,58.8
734,10-13 years,female,English,Private sector,Home maker,None,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Toilet,None,Mediam,Casual Wage,45,49,57,86,79,88,28,750000,No,1 hours,No,3.09,86.2
735,13-15 years,male,Bangla,Worker,Worker,Two Children,primary,None,6-7 km,Walk,Electricity,Toilet,None,Low,Casual Wage,69,59,30,76,43,58,34,500000,No,3 hours,No,2.64,53.9
736,13-15 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,None,>7 km,School Bus/Bus,Electricity,Electricity,None,Low,Casual Wage,23,45,89,46,34,64,32,650000,No,above 3 hours,No,2.38,65.3
737,13-15 years,male,English,Business,Home maker,None,primary,None,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Own business,54,70,22,79,82,42,44,250000,No,3 hours,No,2.81,64.7
738,10-13 years,female,Bangla,Immigrant,Agriculture,Four or more,Masters/ Equivalent and above,primary,2-3 km,Bicycle/motorbike,Electricity,Water,Once,High,Remittance,31,44,82,77,41,27,62,300000,No,above 3 hours,Yes,2.6,59.5
739,10-13 years,female,Bangla,Freelancer ,Private sector,None,secondary,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,Own business,90,42,62,60,34,87,33,450000,Yes,0 to 30 minutes,No,2.91,69.7
740,15-18 years,male,Bangla,Private sector,Worker,Two Children,primary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,84,39,41,36,46,67,53,220000,Yes,3 hours,No,2.61,60.2
741,10-13 years,female,Bangla,Business,Home maker,Two Children,primary,primary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Own business,59,38,47,52,74,49,22,400000,No,2 hours,No,2.44,73.8
742,10-13 years,male,Bangla,Public sector,Home maker,None,Masters/ Equivalent and above,None,1-2 km,Walk,Electricity,Teaching facilities,None,High,Formal Wage,77,53,31,39,37,83,92,300000,Yes,1 hours,Yes,2.94,50.3
